transaction_id,amount,merchant_id,timestamp,location,device_type,user_id,is_international,is_fraud
1,1903.97,M100,2025-01-10 10:00:00,IL,mobile,1644,0,0
2,4756.04,M101,2025-01-10 10:02:00,IL,desktop,1232,0,0
3,3673.37,M102,2025-01-10 10:04:00,NY,mobile,1523,1,0
4,3013.36,M103,2025-01-10 10:06:00,TX,tablet,1345,1,0
5,822.29,M104,2025-01-10 10:08:00,CA,tablet,1045,1,0
6,822.17,M105,2025-01-10 10:10:00,NY,mobile,1545,1,0
7,337.51,M106,2025-01-10 10:12:00,CA,mobile,1944,0,0
8,4337.57,M107,2025-01-10 10:14:00,CA,desktop,1077,0,0
9,3025.52,M108,2025-01-10 10:16:00,TX,tablet,1729,1,0
10,3554.96,M109,2025-01-10 10:18:00,CA,tablet,1812,0,0
11,151.89,M110,2025-01-10 10:20:00,CA,mobile,1922,1,0
12,4851.05,M111,2025-01-10 10:22:00,TX,desktop,1072,1,0
13,4170.59,M112,2025-01-10 10:24:00,CA,tablet,1793,1,0
14,1101.08,M113,2025-01-10 10:26:00,CA,tablet,1248,0,0
15,950.03,M114,2025-01-10 10:28:00,CA,desktop,1046,1,0
16,957.85,M115,2025-01-10 10:30:00,NY,desktop,1120,1,0
17,1556.0,M116,2025-01-10 10:32:00,NY,tablet,1213,1,0
18,2647.54,M117,2025-01-10 10:34:00,NY,tablet,1238,0,0
19,2188.13,M118,2025-01-10 10:36:00,TX,desktop,1055,0,1
20,1491.58,M119,2025-01-10 10:38:00,IL,tablet,1349,1,0
21,3078.67,M120,2025-01-10 10:40:00,CA,mobile,1106,0,0
22,740.49,M121,2025-01-10 10:42:00,CA,mobile,1830,0,0
23,1496.12,M122,2025-01-10 10:44:00,TX,desktop,1047,0,0
24,1863.49,M123,2025-01-10 10:46:00,CA,desktop,1572,0,0
25,2307.55,M124,2025-01-10 10:48:00,NY,desktop,1336,0,0
26,3936.62,M125,2025-01-10 10:50:00,IL,mobile,1025,0,0
27,1038.39,M126,2025-01-10 10:52:00,FL,tablet,1803,0,0
28,2595.46,M127,2025-01-10 10:54:00,CA,mobile,1256,0,0
29,2982.45,M128,2025-01-10 10:56:00,NY,tablet,1007,0,0
30,279.93,M129,2025-01-10 10:58:00,FL,mobile,1624,0,0
31,3057.35,M100,2025-01-10 11:00:00,IL,tablet,1866,1,0
32,894.09,M101,2025-01-10 11:02:00,FL,mobile,1252,1,0
33,372.01,M102,2025-01-10 11:04:00,NY,desktop,1691,0,0
34,4746.98,M103,2025-01-10 11:06:00,FL,mobile,1718,1,1
35,4829.88,M104,2025-01-10 11:08:00,TX,tablet,1302,1,0
36,4051.57,M105,2025-01-10 11:10:00,FL,mobile,1638,0,0
37,1557.84,M106,2025-01-10 11:12:00,CA,mobile,1055,0,1
38,533.48,M107,2025-01-10 11:14:00,CA,mobile,1725,0,1
39,3436.95,M108,2025-01-10 11:16:00,TX,desktop,1525,1,0
40,2228.75,M109,2025-01-10 11:18:00,NY,mobile,1473,1,0
41,654.09,M110,2025-01-10 11:20:00,CA,desktop,1027,0,0
42,2501.13,M111,2025-01-10 11:22:00,IL,desktop,1982,0,0
43,220.22,M112,2025-01-10 11:24:00,CA,mobile,1077,0,0
44,4551.14,M113,2025-01-10 11:26:00,CA,mobile,1215,1,0
45,1330.96,M114,2025-01-10 11:28:00,NY,mobile,1385,1,0
