transaction_id,amount,merchant_id,timestamp,location,device_type,user_id,is_international,is_fraud
1,4187.92,M200,2025-01-01 11:00:00,NY,POS,3792,0,0
2,1738.25,M201,2025-01-01 11:03:00,TX,desktop,3238,1,0
3,1384.3,M202,2025-01-01 11:06:00,CA,POS,3679,0,1
4,3321.35,M203,2025-01-01 11:09:00,NY,mobile,3687,0,0
5,4325.23,M204,2025-01-01 11:12:00,FL,tablet,2723,0,0
6,2555.95,M205,2025-01-01 11:15:00,CA,POS,2974,1,1
7,5885.16,M206,2025-01-01 11:18:00,FL,tablet,2191,0,0
8,4118.43,M207,2025-01-01 11:21:00,NY,tablet,2697,1,0
9,2901.16,M208,2025-01-01 11:24:00,TX,tablet,2663,0,0
10,2370.94,M209,2025-01-01 11:27:00,FL,desktop,3977,0,0
11,2078.77,M210,2025-01-01 11:30:00,OH,POS,2100,0,0
12,4382.43,M211,2025-01-01 11:33:00,FL,desktop,2959,1,1
13,2648.28,M212,2025-01-01 11:36:00,WA,POS,2168,0,0
14,386.28,M213,2025-01-01 11:39:00,NY,desktop,3184,1,0
15,2406.32,M214,2025-01-01 11:42:00,OH,tablet,3247,0,0
16,4435.83,M215,2025-01-01 11:45:00,OH,tablet,3465,0,0
17,1119.48,M216,2025-01-01 11:48:00,NY,tablet,2892,0,0
18,1077.45,M217,2025-01-01 11:51:00,NY,mobile,3719,0,0
19,3203.36,M218,2025-01-01 11:54:00,FL,desktop,2862,0,0
20,3205.01,M219,2025-01-01 11:57:00,CA,tablet,2782,1,0
21,3817.37,M220,2025-01-01 12:00:00,NY,mobile,2832,1,0
22,5101.11,M221,2025-01-01 12:03:00,TX,tablet,3904,0,1
23,4355.0,M222,2025-01-01 12:06:00,CA,desktop,3419,1,0
24,3677.81,M223,2025-01-01 12:09:00,OH,POS,3186,1,0
25,4342.99,M224,2025-01-01 12:12:00,FL,tablet,2548,1,0
26,1958.06,M225,2025-01-01 12:15:00,NY,mobile,3263,0,0
27,2189.88,M226,2025-01-01 12:18:00,WA,desktop,2541,1,0
28,1392.73,M227,2025-01-01 12:21:00,NY,POS,2729,1,1
29,1783.47,M228,2025-01-01 12:24:00,WA,desktop,2010,1,0
30,3796.93,M229,2025-01-01 12:27:00,CA,POS,2955,0,1
31,579.87,M230,2025-01-01 12:30:00,FL,mobile,3823,1,0
32,2619.2,M231,2025-01-01 12:33:00,OH,POS,3793,1,0
33,2602.25,M232,2025-01-01 12:36:00,CA,POS,3417,1,0
34,2977.3,M233,2025-01-01 12:39:00,NY,mobile,2123,0,0
35,2572.21,M234,2025-01-01 12:42:00,NY,desktop,3197,0,0
36,1894.2,M235,2025-01-01 12:45:00,CA,POS,3557,0,0
37,2575.32,M236,2025-01-01 12:48:00,WA,tablet,3864,1,1
38,5363.53,M237,2025-01-01 12:51:00,CA,POS,3141,0,0
39,5666.64,M238,2025-01-01 12:54:00,OH,desktop,3078,0,0
40,3025.96,M239,2025-01-01 12:57:00,WA,POS,2442,1,0
41,3755.0,M240,2025-01-01 13:00:00,FL,desktop,2285,0,0
42,720.24,M241,2025-01-01 13:03:00,WA,mobile,3716,0,0
43,1924.19,M242,2025-01-01 13:06:00,NY,tablet,3880,0,1
44,2506.51,M243,2025-01-01 13:09:00,NY,desktop,2788,1,0
45,5201.87,M244,2025-01-01 13:12:00,WA,POS,2849,1,0
46,1525.22,M245,2025-01-01 13:15:00,NY,tablet,3811,1,0
47,2913.71,M246,2025-01-01 13:18:00,FL,mobile,3010,0,0
48,5913.79,M247,2025-01-01 13:21:00,CA,tablet,3255,1,0
49,3131.33,M248,2025-01-01 13:24:00,OH,tablet,3487,0,0
50,3688.98,M249,2025-01-01 13:27:00,WA,desktop,3392,1,0
51,750.15,M200,2025-01-01 13:30:00,TX,POS,3190,1,0
52,4963.25,M201,2025-01-01 13:33:00,NY,desktop,2802,0,0
53,3630.27,M202,2025-01-01 13:36:00,NY,POS,2540,1,1
54,3284.06,M203,2025-01-01 13:39:00,CA,mobile,3389,1,0
55,2076.3,M204,2025-01-01 13:42:00,CA,mobile,2567,1,0
56,1845.6,M205,2025-01-01 13:45:00,WA,desktop,2989,0,0
57,2519.62,M206,2025-01-01 13:48:00,TX,desktop,3395,1,0
58,4097.37,M207,2025-01-01 13:51:00,OH,mobile,2950,0,0
59,5256.48,M208,2025-01-01 13:54:00,FL,tablet,3972,1,0
60,3077.22,M209,2025-01-01 13:57:00,OH,mobile,2175,1,1
61,4025.8,M210,2025-01-01 14:00:00,OH,POS,3602,1,0
62,3528.04,M211,2025-01-01 14:03:00,TX,mobile,3974,1,0
63,3760.67,M212,2025-01-01 14:06:00,TX,tablet,3311,0,0
64,4057.89,M213,2025-01-01 14:09:00,TX,POS,3849,0,0
65,5058.78,M214,2025-01-01 14:12:00,FL,desktop,3357,1,0
66,526.67,M215,2025-01-01 14:15:00,CA,desktop,3241,0,0
67,4589.19,M216,2025-01-01 14:18:00,FL,desktop,3348,0,0
68,1484.69,M217,2025-01-01 14:21:00,OH,tablet,2027,1,0
69,1189.51,M218,2025-01-01 14:24:00,CA,tablet,2839,0,0
70,3447.57,M219,2025-01-01 14:27:00,FL,tablet,2620,1,0
71,601.4,M220,2025-01-01 14:30:00,TX,desktop,3775,0,0
72,5315.4,M221,2025-01-01 14:33:00,FL,mobile,2480,0,0
73,3774.68,M222,2025-01-01 14:36:00,CA,tablet,3763,1,0
74,4348.8,M223,2025-01-01 14:39:00,CA,tablet,3851,0,0
75,126.29,M224,2025-01-01 14:42:00,OH,mobile,2780,0,0
76,3578.76,M225,2025-01-01 14:45:00,NY,POS,2467,0,0
77,3354.01,M226,2025-01-01 14:48:00,NY,POS,3297,1,0
78,978.99,M227,2025-01-01 14:51:00,TX,POS,2946,1,0
79,943.83,M228,2025-01-01 14:54:00,FL,tablet,2049,0,0
80,4182.31,M229,2025-01-01 14:57:00,TX,POS,2979,1,0
81,1933.04,M230,2025-01-01 15:00:00,CA,tablet,2298,0,0
82,4161.06,M231,2025-01-01 15:03:00,FL,desktop,2736,1,0
83,3339.67,M232,2025-01-01 15:06:00,TX,mobile,3876,0,0
84,2352.03,M233,2025-01-01 15:09:00,TX,tablet,3325,0,0
85,5553.04,M234,2025-01-01 15:12:00,CA,POS,2023,1,1
86,5054.77,M235,2025-01-01 15:15:00,CA,desktop,2987,0,0
87,2163.66,M236,2025-01-01 15:18:00,TX,desktop,2004,0,0
88,290.24,M237,2025-01-01 15:21:00,WA,mobile,3949,0,0
89,1849.47,M238,2025-01-01 15:24:00,OH,desktop,3322,1,0
90,2407.17,M239,2025-01-01 15:27:00,WA,mobile,3844,1,0
