transaction_id,amount,merchant_id,timestamp,location,device_type,user_id,is_international,is_fraud
1,7089.86,M303,2025-01-01 12:00:00,CA,desktop,4970,0,0
2,641.74,M303,2025-01-01 12:04:00,TX,mobile,3341,1,0
3,7837.58,M305,2025-01-01 12:08:00,NY,tablet,4953,0,1
4,1996.42,M301,2025-01-01 12:12:00,NY,tablet,4697,1,0
5,6028.02,M302,2025-01-01 12:16:00,TX,POS,4085,1,0
6,4222.87,M302,2025-01-01 12:20:00,FL,POS,3816,1,0
7,7262.28,M303,2025-01-01 12:24:00,FL,desktop,3009,0,0
8,7074.88,M305,2025-01-01 12:28:00,FL,mobile,4722,0,0
9,732.37,M303,2025-01-01 12:32:00,FL,POS,4579,0,0
10,4148.41,M304,2025-01-01 12:36:00,NY,mobile,4906,0,0
11,2762.1,M302,2025-01-01 12:40:00,NY,POS,4528,1,0
12,1714.1,M302,2025-01-01 12:44:00,CA,desktop,3519,1,0
13,2898.17,M301,2025-01-01 12:48:00,NY,desktop,4762,0,0
14,2180.79,M301,2025-01-01 12:52:00,MA,tablet,4977,0,0
15,6097.77,M305,2025-01-01 12:56:00,NY,desktop,4685,1,0
16,3834.77,M301,2025-01-01 13:00:00,CA,desktop,4323,0,0
17,809.98,M303,2025-01-01 13:04:00,FL,POS,4675,1,0
18,2217.65,M305,2025-01-01 13:08:00,FL,POS,4899,0,0
19,6359.53,M302,2025-01-01 13:12:00,MA,POS,3492,1,0
20,4121.48,M303,2025-01-01 13:16:00,NY,mobile,4660,0,1
21,3637.29,M302,2025-01-01 13:20:00,MA,desktop,4360,0,0
22,2056.11,M304,2025-01-01 13:24:00,FL,desktop,3389,1,0
23,929.53,M305,2025-01-01 13:28:00,FL,mobile,3131,1,0
24,6598.02,M302,2025-01-01 13:32:00,CA,desktop,3288,1,0
25,2555.67,M302,2025-01-01 13:36:00,FL,tablet,3911,0,0
26,1235.41,M305,2025-01-01 13:40:00,CA,mobile,4845,0,0
27,1735.54,M301,2025-01-01 13:44:00,MA,POS,3135,0,0
28,7298.64,M301,2025-01-01 13:48:00,NY,mobile,3973,0,0
29,364.06,M304,2025-01-01 13:52:00,TX,POS,4277,0,1
30,3020.1,M305,2025-01-01 13:56:00,NY,desktop,3588,0,0
31,2557.37,M301,2025-01-01 14:00:00,CA,mobile,3588,1,0
32,2845.18,M302,2025-01-01 14:04:00,CA,desktop,4348,1,0
33,7468.19,M302,2025-01-01 14:08:00,NY,desktop,3180,1,0
34,3120.59,M302,2025-01-01 14:12:00,CA,desktop,3425,0,0
35,7169.6,M301,2025-01-01 14:16:00,MA,mobile,3965,1,1
36,1181.12,M303,2025-01-01 14:20:00,FL,POS,3154,0,0
37,3933.08,M301,2025-01-01 14:24:00,TX,tablet,3014,1,0
38,7388.26,M304,2025-01-01 14:28:00,FL,desktop,3698,1,1
39,6414.46,M304,2025-01-01 14:32:00,FL,tablet,3739,1,0
40,6790.01,M304,2025-01-01 14:36:00,CA,desktop,3275,0,0
41,5330.26,M305,2025-01-01 14:40:00,NY,tablet,3704,1,0
42,1162.89,M302,2025-01-01 14:44:00,MA,mobile,4135,1,0
43,946.43,M305,2025-01-01 14:48:00,MA,desktop,4027,1,0
44,637.62,M305,2025-01-01 14:52:00,TX,desktop,4347,1,0
45,3075.64,M302,2025-01-01 14:56:00,CA,tablet,3489,0,1
46,1188.51,M304,2025-01-01 15:00:00,NY,tablet,4930,1,0
47,3593.9,M301,2025-01-01 15:04:00,TX,mobile,3675,0,0
48,2857.11,M301,2025-01-01 15:08:00,NY,tablet,3571,0,0
49,3476.47,M302,2025-01-01 15:12:00,FL,POS,3034,0,0
50,6410.44,M301,2025-01-01 15:16:00,FL,desktop,3430,1,0
51,2852.95,M305,2025-01-01 15:20:00,NY,POS,4237,1,1
52,401.05,M304,2025-01-01 15:24:00,CA,POS,3606,0,0
53,6799.64,M302,2025-01-01 15:28:00,NY,mobile,3834,1,0
54,4994.94,M302,2025-01-01 15:32:00,CA,POS,4135,1,1
55,1149.96,M301,2025-01-01 15:36:00,TX,mobile,4351,1,0
56,7976.7,M305,2025-01-01 15:40:00,FL,mobile,3310,0,0
57,3455.8,M304,2025-01-01 15:44:00,NY,tablet,4389,0,0
58,7382.36,M302,2025-01-01 15:48:00,FL,mobile,4165,1,0
59,1858.64,M301,2025-01-01 15:52:00,NY,POS,3980,0,0
60,4144.45,M301,2025-01-01 15:56:00,FL,POS,4513,0,0
61,5944.75,M304,2025-01-01 16:00:00,CA,POS,4662,1,0
62,718.73,M302,2025-01-01 16:04:00,FL,desktop,4314,0,1
63,1646.4,M303,2025-01-01 16:08:00,FL,mobile,4668,0,0
64,4459.83,M303,2025-01-01 16:12:00,MA,mobile,4423,1,0
65,75.4,M302,2025-01-01 16:16:00,FL,POS,3919,0,1
66,2865.76,M303,2025-01-01 16:20:00,FL,tablet,4767,1,1
67,6800.74,M303,2025-01-01 16:24:00,TX,POS,4600,1,0
68,748.65,M305,2025-01-01 16:28:00,TX,desktop,3494,0,0
69,1060.04,M303,2025-01-01 16:32:00,CA,mobile,4373,1,1
